2023-03-12 09:43:59.392948 [INFO   ] [APP] application started
2023-03-12 09:43:59.393344 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-12 09:43:59.393961 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-12 09:43:59.394115 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-12 09:43:59.394136 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-12 09:44:03.947301 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-12 09:44:03.947362 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-12 09:44:04.208519 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 4000
2023-03-12 09:44:04.208552 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-12 09:44:04.483685 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10400; bid prices: 146800; bid volumes: 740
2023-03-12 09:44:04.483818 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-12 09:44:04.704216 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9410; bid prices: 146900; bid volumes: 3450
2023-03-12 09:44:04.704283 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:04.704820 [INFO   ] [AUTO] order 1 filled for 10 lots at $147100 cents
2023-03-12 09:44:04.705277 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:04.705413 [INFO   ] [AUTO] hedge order 5 filled for 10 lots at $147100 average price in cents
2023-03-12 09:44:04.929359 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 5000
